to	calcium(uM)	calcium-ad(uM)	F	F ad	Ca_F	Ca_F_ad	Ca_F_CaF0	Ca_F_CaF0_ad
0.0	0.05037368888269256	0.050781687846644004	0.8136886429635228	0.8124626216400407	0.18631135703647658	0.1875373783599587	0.0	0.0
0.01	0.05162479507990162	0.052956978707723444	0.8136886429635228	0.8124626216400407	0.18746602063166926	0.18956906308967333	0.006197494417726826	0.01083349222156139
0.02	0.05423685063112724	0.057493643914288954	0.8136886429635228	0.8124626216400407	0.1920755577704602	0.19746048818938566	0.030938536574853508	0.05291270420972063
0.03	0.05760306761676365	0.06408482921711559	0.8136886429635228	0.8124626216400407	0.19963485924306612	0.211057874239236	0.07151202384286763	0.12541764252527898
0.04	0.06165613108690002	0.0741448761381465	0.8136886429635228	0.8124626216400407	0.20938329696666744	0.23121279593348934	0.12383539198672555	0.23288913365153352
0.05	0.0665475806252845	0.0929755304140539	0.8136886429635228	0.8124626216400407	0.22110592024048967	0.2631777576750478	0.18675492335768293	0.4033349510192319
0.06	0.07259488132707494	0.16274755678770247	0.8136886429635228	0.8124626216400407	0.23506202886700125	0.33568772018358756	0.2616623731691253	0.7899776733535728
0.07	0.08037542949913253	1.6180718399645457	0.8136886429635228	0.8124626216400407	0.2519666524145291	0.8258790249888236	0.35239556204401606	3.403810228186265
0.08	0.09101053457705949	5.033066170047362	0.8136886429635228	0.8124626216400407	0.2732103165426155	0.9563652185329189	0.46641794085116134	4.0995978876129655
0.09	0.10698603575005734	7.675664393184461	0.8136886429635228	0.8124626216400407	0.3015673947828437	0.9720026889095602	0.6186205692431406	4.182981107072432
0.1	0.13508346296526447	7.924117395056842	0.8136886429635228	0.8124626216400407	0.3433660367453759	0.9729838244243503	0.8429689000555705	4.188212786876053
