to	calcium(uM)	calcium-ad(uM)	F	F ad	Ca_F	Ca_F_ad	Ca_F_CaF0	Ca_F_CaF0_ad
0.0	0.05037368888269256	0.05060063477887464	0.8136886429635228	0.8130062229150964	0.18631135703647658	0.1869937770849031	0.0	0.0
0.01	0.05162479507990162	0.052384790728276405	0.8136886429635228	0.8130062229150964	0.18746602063166926	0.18865388093282737	0.006197494417726826	0.008877856118016681
0.02	0.05423685063112724	0.05608663213790671	0.8136886429635228	0.8130062229150964	0.1920755577704602	0.19514816484797437	0.030938536574853508	0.043607802838106315
0.03	0.05760306761676365	0.061168321319979346	0.8136886429635228	0.8130062229150964	0.19963485924306612	0.20605470446347368	0.07151202384286763	0.10193348503739832
0.04	0.06165613108690002	0.06807492486608688	0.8136886429635228	0.8130062229150964	0.20938329696666744	0.2211496075388774	0.12383539198672555	0.18265757816350275
0.05	0.0665475806252845	0.07822767509769646	0.8136886429635228	0.8130062229150964	0.22110592024048967	0.24179068665940917	0.18675492335768293	0.2930413537217655
0.06	0.07259488132707494	0.09588095238400757	0.8136886429635228	0.8130062229150964	0.23506202886700125	0.27252660769243053	0.2616623731691253	0.45741003760083354
0.07	0.08037542949913253	0.1429140481097811	0.8136886429635228	0.8130062229150964	0.2519666524145291	0.33090778197183635	0.35239556204401606	0.7696192201176308
0.08	0.09101053457705949	0.6795846489735416	0.8136886429635228	0.8130062229150964	0.2732103165426155	0.600258490534512	0.46641794085116134	2.210045274725742
0.09	0.10698603575005734	2.2964123714151654	0.8136886429635228	0.8130062229150964	0.3015673947828437	0.903150592494808	0.6186205692431406	3.829843038491807
0.1	0.13508346296526447	4.653712861608068	0.8136886429635228	0.8130062229150964	0.3433660367453759	0.9537362934081218	0.8429689000555705	4.100363810369395
