to	calcium(uM)	calcium-ad(uM)	F	F ad	Ca_F	Ca_F_ad	Ca_F_CaF0	Ca_F_CaF0_ad
0.0	0.05037368888269256	0.0506542699517309	0.8136886429635228	0.8128451106248217	0.18631135703647658	0.18715488937517752	0.0	0.0
0.01	0.05162479507990162	0.05255687999742224	0.8136886429635228	0.8128451106248217	0.18746602063166926	0.1889275176965852	0.006197494417726826	0.009471450771741267
0.02	0.05423685063112724	0.0565078575616201	0.8136886429635228	0.8128451106248217	0.1920755577704602	0.1958431532467791	0.030938536574853508	0.04642285275371438
0.03	0.05760306761676365	0.062020526422366364	0.8136886429635228	0.8128451106248217	0.19963485924306612	0.20754015047950705	0.07151202384286763	0.10892187306666883
0.04	0.06165613108690002	0.06975818949767669	0.8136886429635228	0.8128451106248217	0.20938329696666744	0.22404074298148724	0.12383539198672555	0.1970873094977871
0.05	0.0665475806252845	0.08184367754635073	0.8136886429635228	0.8128451106248217	0.22110592024048967	0.24748277826849513	0.18675492335768293	0.3223420403000112
0.06	0.07259488132707494	0.10598813275756484	0.8136886429635228	0.8128451106248217	0.23506202886700125	0.2854522776510706	0.2616623731691253	0.5252194511405073
0.07	0.08037542949913253	0.21983778444556248	0.8136886429635228	0.8128451106248217	0.2519666524145291	0.38300811881183267	0.35239556204401606	1.0464766915281631
0.08	0.09101053457705949	1.5555533506405166	0.8136886429635228	0.8128451106248217	0.2732103165426155	0.8372594761679386	0.46641794085116134	3.473617969389716
0.09	0.10698603575005734	4.082152994353839	0.8136886429635228	0.8128451106248217	0.3015673947828437	0.9464829901596771	0.6186205692431406	4.057217544887768
0.1	0.13508346296526447	6.276252661595012	0.8136886429635228	0.8128451106248217	0.3433660367453759	0.965883492549133	0.8429689000555705	4.160877686785343
