to	calcium(uM)	calcium-ad(uM)	F	F ad	Ca_F	Ca_F_ad	Ca_F_CaF0	Ca_F_CaF0_ad
0.0	0.05037368888269256	0.050575940969477366	0.8136886429635228	0.8130804210150276	0.18631135703647658	0.18691957898497102	0.0	0.0
0.01	0.05162479507990162	0.05230476688916878	0.8136886429635228	0.8130804210150276	0.18746602063166926	0.18852716407377482	0.006197494417726826	0.00860041038789761
0.02	0.05423685063112724	0.05589136749856741	0.8136886429635228	0.8130804210150276	0.1920755577704602	0.19482507023596252	0.030938536574853508	0.04229354299812071
0.03	0.05760306761676365	0.060778355176227365	0.8136886429635228	0.8130804210150276	0.19963485924306612	0.20536874544872402	0.07151202384286763	0.09870109147440555
0.04	0.06165613108690002	0.06732653510781535	0.8136886429635228	0.8130804210150276	0.20938329696666744	0.21983850009472858	0.12383539198672555	0.176112750138413
0.05	0.0665475806252845	0.07670830987757733	0.8136886429635228	0.8130804210150276	0.22110592024048967	0.23930350347516136	0.18675492335768293	0.2802484617965151
0.06	0.07259488132707494	0.09218246448725181	0.8136886429635228	0.8130804210150276	0.23506202886700125	0.2673502723334866	0.2616623731691253	0.430295712120037
0.07	0.08037542949913253	0.12745084287577566	0.8136886429635228	0.8130804210150276	0.2519666524145291	0.3161033429884724	0.35239556204401606	0.6911194894885153
0.08	0.09101053457705949	0.3850563491678524	0.8136886429635228	0.8130804210150276	0.2732103165426155	0.47905501497467934	0.46641794085116134	1.5628937191924501
0.09	0.10698603575005734	1.6755929534391696	0.8136886429635228	0.8130804210150276	0.3015673947828437	0.8631679988665077	0.6186205692431406	3.6178576024714317
0.1	0.13508346296526447	3.7079370356212684	0.8136886429635228	0.8130804210150276	0.3433660367453759	0.9416682482665016	0.8429689000555705	4.037825643413283
