to	calcium(uM)	calcium-ad(uM)	F	F ad	Ca_F	Ca_F_ad	Ca_F_CaF0	Ca_F_CaF0_ad
0.0	0.05037368888269256	0.050683421519093205	0.8136886429635228	0.8127575703208589	0.18631135703647658	0.18724242967914018	0.0	0.0
0.01	0.05162479507990162	0.05264944652824417	0.8136886429635228	0.8127575703208589	0.18746602063166926	0.18907530650543833	0.006197494417726826	0.009788790016445425
0.02	0.05423685063112724	0.056735060110473225	0.8136886429635228	0.8127575703208589	0.1920755577704602	0.19621709713904997	0.030938536574853508	0.04793073597308497
0.03	0.05760306761676365	0.06248731513728802	0.8136886429635228	0.8127575703208589	0.19963485924306612	0.20834558436825312	0.07151202384286763	0.11270498212010732
0.04	0.06165613108690002	0.07070967700944018	0.8136886429635228	0.8127575703208589	0.20938329696666744	0.2256403615853834	0.12383539198672555	0.20507067747434252
0.05	0.0665475806252845	0.08402587094811097	0.8136886429635228	0.8127575703208589	0.22110592024048967	0.250770274966522	0.18675492335768293	0.33928124835937845
0.06	0.07259488132707494	0.1132726705930186	0.8136886429635228	0.8127575703208589	0.23506202886700125	0.2937921399176508	0.2616623731691253	0.5690468256638994
0.07	0.08037542949913253	0.35298363309640596	0.8136886429635228	0.8127575703208589	0.2519666524145291	0.44175877517062245	0.35239556204401606	1.3592877742914526
0.08	0.09101053457705949	2.1481365936124766	0.8136886429635228	0.8127575703208589	0.2732103165426155	0.8917294812549748	0.46641794085116134	3.7624327604755403
0.09	0.10698603575005734	5.136033748506086	0.8136886429635228	0.8127575703208589	0.3015673947828437	0.9577583096078066	0.6186205692431406	4.1150709337035805
0.1	0.13508346296526447	6.853366708479446	0.8136886429635228	0.8127575703208589	0.3433660367453759	0.9687941732976602	0.8429689000555705	4.17400983824976
