to	calcium(uM)	calcium-ad(uM)	F	F ad	Ca_F	Ca_F_ad	Ca_F_CaF0	Ca_F_CaF0_ad
0.0	0.05037368888269256	0.05062671093063776	0.8136886429635228	0.8129278859557472	0.18631135703647658	0.1870721140442508	0.0	0.0
0.01	0.05162479507990162	0.0524687547438066	0.8136886429635228	0.8129278859557472	0.18746602063166926	0.18878720454549386	0.006197494417726826	0.009168071414627596
0.02	0.05423685063112724	0.056291975173517805	0.8136886429635228	0.8129278859557472	0.1920755577704602	0.1954872328347571	0.030938536574853508	0.04498328804107998
0.03	0.05760306761676365	0.061581670703245286	0.8136886429635228	0.8129278859557472	0.19963485924306612	0.20677761010492793	0.07151202384286763	0.10533636272488961
0.04	0.06165613108690002	0.06888300079304745	0.8136886429635228	0.8129278859557472	0.20938329696666744	0.22254738047462413	0.12383539198672555	0.18963417723489168
0.05	0.0665475806252845	0.07992733315979021	0.8136886429635228	0.8129278859557472	0.22110592024048967	0.24450489673800369	0.18675492335768293	0.30700878635587286
0.06	0.07259488132707494	0.10037339511256065	0.8136886429635228	0.8129278859557472	0.23506202886700125	0.2784819714969198	0.2616623731691253	0.48863433184406363
0.07	0.08037542949913253	0.16849479724403071	0.8136886429635228	0.8129278859557472	0.2519666524145291	0.3513651078698416	0.35239556204401606	0.8782334805214648
0.08	0.09101053457705949	1.0812721589769474	0.8136886429635228	0.8129278859557472	0.2732103165426155	0.738912170868833	0.46641794085116134	2.9498787654372025
0.09	0.10698603575005734	3.1035727470129295	0.8136886429635228	0.8129278859557472	0.3015673947828437	0.9290702211122264	0.6186205692431406	3.9663747366027
0.1	0.13508346296526447	5.535700114135991	0.8136886429635228	0.8129278859557472	0.3433660367453759	0.96124039818002	0.8429689000555705	4.138341452391158
