to	calcium(uM)	calcium-ad(uM)	F	F ad	Ca_F	Ca_F_ad	Ca_F_CaF0	Ca_F_CaF0_ad
0.0	0.050373688882683065	0.05081852795613746	37.635750516919934	37.553743660440894	12.364249483080018	12.446256339559152	0.0	0.0
0.01	0.05069472116438901	0.05142585724416674	37.635750516919934	37.553743660440894	12.370868483217505	12.458943896314725	0.0005353337577460646	0.0010193873892221526
0.02	0.05126055734245731	0.05244381357738834	37.635750516919934	37.553743660440894	12.398691266259934	12.510175000002613	0.0027855943239457315	0.005135573195636509
0.03	0.051891607473743405	0.05357276468719587	37.635750516919934	37.553743660440894	12.448705304486642	12.600444375491312	0.0068306468194611475	0.012388306308788531
0.04	0.05252349044153565	0.05472672136554417	37.635750516919934	37.553743660440894	12.51621592246722	12.721859464055965	0.012290793678594241	0.022143455588395426
0.05	0.05313529082688076	0.05587861793921154	37.635750516919934	37.553743660440894	12.595899451480053	12.866144058842396	0.018735465401036964	0.03373606551462978
0.06	0.053719554593035485	0.05701762383087574	37.635750516919934	37.553743660440894	12.683193591151987	13.026323655002466	0.025795670696262766	0.046605766394158955
0.07	0.05427320090781724	0.05813797648004135	37.635750516919934	37.553743660440894	12.77452015806423	13.19686949528619	0.033182012021485845	0.06030834776729536
0.08	0.054795671128947926	0.05923587270164553	37.635750516919934	37.553743660440894	12.867185001689887	13.373495318303686	0.04067659094861487	0.0744994280567241
0.09	0.0552870247708693	0.06030805435855771	37.635750516919934	37.553743660440894	12.959211334146781	13.552903669817706	0.04811952815097632	0.08891407183549549
0.1	0.05574774822981085	0.06135229354254973	37.635750516919934	37.553743660440894	13.049179589310876	13.732585124247317	0.055396011473899644	0.10335065818945895
