Time,AD,SD,CTRL,SD,RATIO,max,min
10,0.231847133757962,0.24968152866242,0.175796178343949,0.192356687898089,1.31884057971014,1.42028985507246,1.20529801324503
25,0.238216560509554,0.270063694267516,0.165605095541401,0.18343949044586,1.43846153846154,1.63076923076923,1.29861111111111
50,0.247133757961783,0.267515923566879,0.15796178343949,0.18343949044586,1.56451612903226,1.69354838709677,1.34722222222222
100,0.179617834394904,0.201273885350318,0.152866242038217,0.170700636942675,1.175,1.31666666666667,1.05223880597015
500,0.136305732484076,0.152866242038217,0.113375796178344,0.12484076433121,1.20224719101123,1.34831460674157,1.09183673469388
