to	calcium(uM)	calcium-ad(uM)	F	F ad	Ca_F	Ca_F_ad	Ca_F_CaF0	Ca_F_CaF0_ad
0.0	0.050373688882683065	0.050781687846705455	37.635750516919934	37.560521623268116	12.364249483080018	12.439478376731955	0.0	0.0
0.01	0.05069472116438901	0.051366734080734604	37.635750516919934	37.560521623268116	12.370868483217505	12.451688039316421	0.0005353337577460646	0.0009815252870493387
0.02	0.05126055734245731	0.05235000039566381	37.635750516919934	37.560521623268116	12.398691266259934	12.501119787727188	0.0027855943239457315	0.004955305128431479
0.03	0.051891607473743405	0.05344020206130315	37.635750516919934	37.560521623268116	12.448705304486642	12.588294779362453	0.0068306468194611475	0.011963234962396733
0.04	0.05252349044153565	0.05455241381002692	37.635750516919934	37.560521623268116	12.51621592246722	12.705532307138563	0.012290793678594241	0.021387868715159467
0.05	0.05313529082688076	0.055659836282253974	37.635750516919934	37.560521623268116	12.595899451480053	12.844738942888599	0.018735465401036964	0.0325785819857755
0.06	0.053719554593035485	0.056751724823353736	37.635750516919934	37.560521623268116	12.683193591151987	12.99908842151731	0.025795670696262766	0.04498661662792113
0.07	0.05427320090781724	0.057822489101185856	37.635750516919934	37.560521623268116	12.77452015806423	13.163172083760273	0.033182012021485845	0.058177174726392604
0.08	0.054795671128947926	0.05886848311606889	37.635750516919934	37.560521623268116	12.867185001689887	13.332804423124355	0.04067659094861487	0.07181378666675974
0.09	0.0552870247708693	0.05988688661189615	37.635750516919934	37.560521623268116	12.959211334146781	13.504779067174834	0.04811952815097632	0.08563869466066387
0.1	0.05574774822981085	0.060875408161096885	37.635750516919934	37.560521623268116	13.049179589310876	13.676655469297845	0.055396011473899644	0.09945570506236256
