to	calcium(uM)	calcium-ad(uM)	F	F ad	Ca_F	Ca_F_ad	Ca_F_CaF0	Ca_F_CaF0_ad
0.0	0.050373688882683065	0.05055253722702372	37.635750516919934	37.60273649957065	12.364249483080018	12.397263500429311	0.0	0.0
0.01	0.05069472116438901	0.050993765201926444	37.635750516919934	37.60273649957065	12.370868483217505	12.40642061819351	0.0005353337577460646	0.0007386402462028308
0.02	0.05126055734245731	0.05175155949168618	37.635750516919934	37.60273649957065	12.398691266259934	12.444148445912644	0.0027855943239457315	0.0037818785961683627
0.03	0.051891607473743405	0.052592084684960336	37.635750516919934	37.60273649957065	12.448705304486642	12.51122601358483	0.0068306468194611475	0.009192553917368328
0.04	0.05252349044153565	0.05344028625919114	37.635750516919934	37.60273649957065	12.51621592246722	12.601487751296375	0.012290793678594241	0.016473333075480066
0.05	0.05313529082688076	0.0542714993744726	37.635750516919934	37.60273649957065	12.595899451480053	12.708201297048172	0.018735465401036964	0.025081163807488083
0.06	0.053719554593035485	0.05507643765536047	37.635750516919934	37.60273649957065	12.683193591151987	12.825663894018327	0.025795670696262766	0.03455604485410673
0.07	0.05427320090781724	0.05585105495793936	37.635750516919934	37.60273649957065	12.77452015806423	12.949377839020299	0.033182012021485845	0.04453517815216788
0.08	0.054795671128947926	0.05659332001374954	37.635750516919934	37.60273649957065	12.867185001689887	13.075912108194794	0.04067659094861487	0.05474180715300453
0.09	0.0552870247708693	0.05730210618653249	37.635750516919934	37.60273649957065	12.959211334146781	13.202696323450722	0.04811952815097632	0.06496859754521786
0.1	0.05574774822981085	0.057976934565846294	37.635750516919934	37.60273649957065	13.049179589310876	13.32782509419862	0.055396011473899644	0.07506185487927101
